Employee ID,Employee Name,Department,Seller Rating (1–5),Avg Response Time (mins),Resolved Tickets,Unresolved Tickets,Customer Satisfaction Score (1–10),Shift,Attendance %,Sales Closed,Target Achievement %,Date
EMP00135,Darshit Sankar,Logistics,4.8,18.83,32,4,7.3,Day,79.8,13,53.65,2025-02-04
EMP00136,Adah Rama,Customer Support,2.0,101.27,35,8,1.0,Night,71.17,7,55.29,2025-01-23
EMP00137,Piya Bhatti,Sales,3.8,5.83,23,5,8.7,Day,98.91,20,110.83,2024-11-04
EMP00138,Anya Karnik,Customer Support,3.2,14.95,34,4,6.9,Night,81.77,17,91.06,2025-04-19
EMP00139,Advika Bhargava,Logistics,2.6,10.17,29,4,8.9,Night,75.63,19,59.51,2025-03-14
EMP00140,Riya Zacharia,Sales,1.0,90.8,26,5,7.8,Day,80.01,22,101.74,2025-04-26
EMP00141,Damini Ramanathan,Sales,4.6,88.41,35,5,1.2,Day,97.14,25,105.57,2025-01-09
EMP00142,Amira Doshi,Customer Support,4.4,70.26,35,6,9.3,Night,74.41,25,114.96,2025-03-21
EMP00143,Riya Magar,Logistics,4.8,106.61,32,7,9.4,Day,82.81,12,59.79,2025-01-15
EMP00144,Aarush Raju,Customer Support,3.6,104.24,29,5,2.0,Day,86.4,15,75.91,2025-01-09
EMP00145,Ryan Bhattacharyya,Logistics,3.1,34.76,30,10,3.4,Day,85.94,17,84.52,2025-02-10
EMP00146,Anaya Dutta,Logistics,1.6,46.01,34,5,7.1,Day,83.66,12,52.74,2025-03-07
EMP00147,Hiran Sane,Customer Support,2.8,119.55,35,3,5.5,Day,79.01,15,56.33,2025-04-18
EMP00148,Aayush Sarin,Logistics,2.7,77.4,31,9,4.2,Day,83.38,18,86.33,2024-12-15
EMP00149,Kiara Sant,Customer Support,2.0,39.15,40,7,5.6,Night,77.39,14,68.47,2024-12-18
EMP00150,Priyansh Kothari,Sales,4.3,114.81,20,2,5.1,Day,75.77,21,109.62,2025-03-28
EMP00151,Kiaan Choudhury,Logistics,3.7,49.69,28,3,9.2,Day,74.35,16,90.49,2025-03-12
EMP00152,Ahana  Chand,Sales,3.9,24.34,40,7,3.8,Day,90.62,14,85.91,2025-02-09
EMP00153,Rasha Hayre,Sales,3.8,38.05,23,6,8.0,Night,86.72,11,94.22,2025-02-07
EMP00154,Lakshay Kapur,Logistics,1.4,60.12,24,3,8.2,Day,99.59,13,91.05,2025-02-25
EMP00155,Elakshi Madan,Logistics,4.0,70.4,32,3,1.2,Day,75.0,21,73.56,2025-03-04
EMP00156,Anahita Khatri,Sales,4.4,18.99,29,3,1.7,Night,82.0,15,89.43,2025-04-11
EMP00157,Uthkarsh Ramanathan,Logistics,2.9,72.6,35,5,3.6,Day,96.84,22,95.1,2024-11-21
EMP00158,Kiara Dugal,Sales,4.3,55.8,31,5,7.4,Day,97.72,19,67.61,2025-01-19
EMP00159,Arnav Ghose,Logistics,2.6,87.65,30,1,2.3,Day,96.55,13,99.61,2025-04-07
EMP00160,Vardaniya Mangal,Logistics,4.0,5.93,31,5,4.1,Night,99.69,18,78.19,2024-12-01
EMP00161,Kimaya Kapur,Customer Support,3.7,118.24,28,8,7.3,Day,87.59,17,81.13,2025-04-21
EMP00162,Reyansh Guha,Customer Support,4.6,16.64,41,5,7.1,Night,82.0,10,119.56,2025-03-12
EMP00163,Misha Balakrishnan,Sales,3.1,99.62,30,2,6.6,Night,89.98,13,66.28,2025-04-22
EMP00164,Adah Raju,Customer Support,1.7,91.89,31,1,2.0,Day,74.19,21,90.11,2024-12-18
EMP00165,Faiyaz Raja,Sales,2.1,100.25,34,4,4.5,Day,95.39,15,52.13,2025-02-12
EMP00166,Zara Konda,Sales,2.9,29.95,25,4,7.8,Day,78.98,13,111.19,2025-03-21
EMP00167,Elakshi Kala,Customer Support,2.9,98.79,27,6,5.7,Night,87.22,16,77.11,2025-01-15
EMP00168,Anaya Soni,Sales,3.6,27.6,26,2,2.5,Night,82.64,18,56.98,2025-03-22
EMP00169,Saira Dhingra,Customer Support,1.1,53.94,24,4,6.8,Night,89.75,8,97.62,2025-02-17
EMP00170,Madhup Bhargava,Customer Support,2.9,106.0,29,4,6.0,Day,89.2,17,78.01,2025-02-18
EMP00171,Madhav Sura,Logistics,3.3,113.82,30,7,2.2,Night,89.55,13,55.1,2024-11-05
EMP00172,Saksham Kapoor,Logistics,3.6,51.3,22,5,7.1,Day,87.2,20,70.81,2025-03-14
EMP00173,Tanya Kibe,Customer Support,3.9,70.17,25,5,6.2,Day,91.51,15,104.39,2025-01-18
EMP00174,Ayesha Issac,Customer Support,3.7,43.6,25,3,2.9,Day,73.25,14,55.18,2024-11-14
EMP00175,Divit Chandran,Logistics,4.0,37.8,31,5,5.7,Night,83.51,13,70.5,2025-02-18
EMP00176,Taimur Buch,Sales,4.4,67.71,25,5,2.5,Night,90.7,12,64.78,2025-01-14
EMP00177,Aayush Luthra,Sales,1.3,8.01,35,4,3.1,Night,87.37,15,62.91,2025-03-28
EMP00178,Nitya Krish,Customer Support,2.8,73.54,26,5,3.6,Night,96.92,20,68.94,2025-04-05
EMP00179,Damini Dara,Customer Support,1.8,93.72,27,6,4.8,Night,94.12,12,73.53,2024-12-02
EMP00180,Samarth Kalita,Logistics,1.0,20.82,35,2,3.9,Day,98.06,12,96.8,2024-12-23
EMP00181,Mahika Sami,Logistics,2.4,21.22,26,10,7.4,Day,81.04,11,53.2,2025-03-26
EMP00182,Dhanush Suri,Sales,5.0,55.07,31,2,3.9,Night,70.21,13,79.05,2024-12-16
EMP00183,Nirvaan Sathe,Sales,2.1,67.17,31,4,4.5,Night,84.55,16,50.25,2024-11-09
EMP00184,Devansh Majumdar,Customer Support,2.9,44.48,29,10,1.2,Night,87.96,14,71.68,2025-01-27
EMP00185,Vidur Jha,Logistics,4.6,32.85,33,6,3.9,Day,91.44,13,113.96,2025-04-12
EMP00186,Sara Kapur,Customer Support,1.7,71.84,27,6,7.1,Night,76.37,17,59.99,2025-02-13
EMP00187,Raunak Kumer,Logistics,1.6,21.41,28,6,3.6,Day,97.82,10,112.38,2024-12-08
EMP00188,Saksham Dixit,Sales,2.3,107.84,29,2,2.1,Night,77.26,23,87.25,2024-10-30
EMP00189,Keya Contractor,Logistics,3.6,85.3,26,1,5.3,Day,96.9,17,112.33,2024-11-19
EMP00190,Vidur Balakrishnan,Sales,3.4,31.55,31,3,6.6,Night,90.93,16,79.95,2025-03-03
EMP00191,Lagan Mann,Customer Support,2.2,88.1,31,4,1.3,Night,70.21,24,79.73,2025-02-18
EMP00192,Shayak Zacharia,Sales,4.6,68.29,23,3,4.1,Night,99.35,11,58.31,2025-03-23
EMP00193,Mohanlal Boase,Customer Support,1.4,115.25,31,9,8.0,Day,97.86,17,101.44,2024-11-22
EMP00194,Ryan Jani,Customer Support,4.5,19.3,32,1,8.1,Night,96.29,9,87.41,2024-11-24
EMP00195,Nitya Bhatt,Logistics,1.7,84.91,31,10,4.6,Night,79.39,15,103.88,2024-11-06
EMP00196,Inaaya  Dey,Logistics,3.1,54.98,25,4,1.9,Day,86.43,20,104.8,2024-11-23
EMP00197,Samarth Dhawan,Logistics,3.4,17.78,27,5,9.0,Night,75.87,19,60.95,2025-04-28
EMP00198,Miraan Sibal,Logistics,4.7,21.39,29,5,9.2,Day,90.28,16,94.41,2025-01-07
EMP00199,Aarush Chauhan,Sales,2.2,30.52,27,2,9.2,Day,83.95,17,76.41,2025-04-12
EMP00200,Advik Dhar,Logistics,4.7,72.07,24,3,5.9,Night,98.41,14,117.54,2025-04-27
EMP00201,Onkar Mangat,Customer Support,4.9,73.87,31,3,5.9,Night,94.3,16,112.93,2025-01-21
EMP00202,Sahil Divan,Logistics,4.8,57.92,37,4,4.3,Day,90.86,21,88.85,2025-03-04
EMP00203,Vanya Char,Sales,3.1,67.14,28,2,6.2,Night,76.06,17,69.14,2025-01-15
EMP00204,Pranay Rao,Customer Support,1.6,116.54,20,5,4.5,Day,79.52,16,93.68,2025-01-15
EMP00205,Mohanlal Ratta,Customer Support,3.1,73.14,34,3,5.0,Day,94.06,16,115.21,2024-11-20
EMP00206,Khushi Sahni,Sales,4.3,42.85,31,13,1.0,Day,80.08,16,61.69,2025-04-21
EMP00207,Chirag Kaur,Customer Support,2.4,100.4,29,5,3.6,Day,99.1,17,108.04,2024-12-10
EMP00208,Purab Kalita,Logistics,4.1,31.91,26,4,2.6,Night,81.79,15,88.19,2025-01-10
EMP00209,Misha Bhasin,Logistics,3.3,115.88,26,4,6.6,Night,89.26,20,93.01,2024-11-24
EMP00210,Inaaya  Sood,Customer Support,3.2,52.68,41,8,8.5,Night,91.96,19,77.83,2025-03-31
EMP00211,Nishith Saran,Customer Support,2.6,44.21,33,2,2.1,Day,89.22,12,61.16,2024-11-25
EMP00212,Jivin Bhalla,Logistics,3.7,53.84,31,8,3.6,Night,98.72,15,94.84,2025-03-19
EMP00213,Divyansh Bawa,Customer Support,2.5,94.74,30,6,9.5,Night,79.96,6,72.81,2024-12-04
EMP00214,Hiran Golla,Logistics,2.8,4.18,31,5,1.4,Night,75.57,13,74.34,2025-04-16
EMP00215,Rohan Sandhu,Sales,1.5,113.76,12,6,8.4,Day,92.5,12,105.84,2025-02-17
EMP00216,Vaibhav Shetty,Customer Support,4.1,42.16,26,3,8.7,Night,96.34,14,91.8,2025-03-26
EMP00217,Renee Shere,Sales,3.4,99.77,29,6,4.0,Day,76.31,19,103.36,2025-01-14
EMP00218,Himmat Malhotra,Logistics,3.9,88.01,27,5,6.9,Day,99.26,13,67.65,2025-02-01
EMP00219,Akarsh Acharya,Sales,4.8,4.06,31,10,2.1,Night,84.94,15,88.03,2025-01-11
EMP00220,Baiju Deep,Sales,2.0,87.82,25,7,6.5,Night,92.72,14,109.26,2025-03-02
EMP00221,Jayant Wadhwa,Customer Support,3.9,49.5,32,3,3.0,Day,85.1,16,118.84,2024-11-21
EMP00222,Neysa Bassi,Logistics,2.3,96.74,29,2,9.7,Day,92.34,8,55.97,2025-03-31
EMP00223,Rhea Ramachandran,Logistics,1.8,52.45,33,5,2.0,Night,90.76,25,82.32,2024-12-28
EMP00224,Gokul Chhabra,Sales,3.2,74.4,28,11,5.3,Night,97.69,10,110.29,2025-03-24
EMP00225,Dhanuk Soni,Customer Support,4.8,59.38,23,5,7.6,Night,74.62,12,86.73,2024-12-26
EMP00226,Ahana  Keer,Sales,4.8,91.32,30,7,6.3,Night,93.89,11,73.07,2025-02-07
EMP00227,Keya Kalla,Sales,4.6,68.68,29,4,1.4,Night,77.34,14,104.61,2025-04-25
EMP00228,Inaaya  Warrior,Customer Support,3.0,6.25,34,5,8.7,Day,77.28,8,84.41,2025-04-14
EMP00229,Kiara Rau,Customer Support,3.6,108.43,21,3,8.4,Day,77.82,18,72.51,2025-02-12
EMP00230,Seher Ravi,Sales,1.3,92.1,33,6,4.7,Day,80.45,17,98.2,2025-04-09
EMP00231,Zaina Mandal,Sales,1.7,14.45,40,4,7.9,Night,96.7,10,80.18,2025-01-11
EMP00232,Parinaaz Karnik,Logistics,2.1,109.08,26,1,3.6,Night,98.66,17,79.11,2025-03-06
EMP00233,Zaina Gulati,Customer Support,2.0,29.66,37,7,3.8,Night,84.79,9,107.81,2025-03-06
EMP00234,Parinaaz Cheema,Sales,4.6,105.76,30,4,9.5,Night,88.98,10,57.58,2025-03-05
EMP00235,Eva Keer,Sales,3.0,117.86,36,4,3.3,Night,90.81,15,77.16,2024-12-28
EMP00236,Arnav Salvi,Logistics,2.7,67.97,31,3,6.4,Day,75.8,15,110.29,2025-01-21
EMP00237,Mehul Cheema,Logistics,1.4,114.8,30,4,3.6,Night,98.95,8,77.11,2025-04-23
EMP00238,Purab Chatterjee,Sales,4.1,61.81,36,7,1.1,Night,73.81,11,90.62,2024-12-29
EMP00239,Veer Jaggi,Customer Support,1.0,104.39,27,6,4.3,Day,71.21,17,60.46,2025-03-15
EMP00240,Jayan Seshadri,Logistics,4.4,13.04,25,3,1.7,Night,72.48,14,67.13,2025-03-18
EMP00241,Riya Dave,Customer Support,1.7,105.63,28,6,5.3,Day,75.65,15,69.76,2025-02-24
EMP00242,Kaira Iyer,Logistics,3.0,10.82,29,2,1.8,Day,94.24,24,86.49,2024-11-06
EMP00243,Dharmajan Dora,Logistics,2.4,15.83,21,2,4.8,Night,82.35,8,100.55,2025-04-06
EMP00244,Tarini Iyengar,Logistics,4.7,114.76,23,8,6.6,Day,75.25,12,72.68,2025-02-25
EMP00245,Alia Bahri,Sales,4.9,117.54,20,5,8.3,Night,88.4,18,97.39,2024-11-27
EMP00246,Hridaan Walla,Sales,4.2,117.09,27,4,8.0,Night,91.75,21,73.04,2025-01-16
