Customer ID,Customer Name,Gender,Age,Location,Total Orders,Average Basket Size (₹),Total Spend (₹),Preferred Category,Last Purchase Date,Days Since Last Purchase,Engagement Score (1-100),Customer Rating (1 to 5 stars)
CUST00038,Manjari Anand,Other,68,Ahmedabad,17,4106.86,69816.62,Beauty,2024-05-06,359,35,3.1
CUST00039,Jayan Bali,Female,61,Bangalore,8,1425.87,11406.96,Fashion,2024-05-06,359,88,2.0
CUST00040,Kartik Saha,Female,69,Hyderabad,12,2260.85,27130.2,Books,2024-10-13,199,40,2.1
CUST00041,Rasha Mahal,Female,20,Kolkata,13,4675.06,60775.78,Books,2024-09-23,219,45,2.9
CUST00042,Adira Khatri,Male,54,Delhi,10,1056.65,10566.5,Beauty,2024-05-10,355,60,2.6
CUST00043,Samar Choudhary,Male,68,Mumbai,9,1642.78,14785.02,Electronics,2025-03-04,57,63,2.3
CUST00044,Drishya Dass,Female,24,Hyderabad,9,1680.0,15120.0,Fashion,2025-03-04,57,10,4.3
CUST00045,Gokul Ramesh,Male,38,Bangalore,10,3069.2,30692.0,Books,2024-11-21,160,47,3.0
CUST00046,Mamooty Dhingra,Male,26,Kolkata,9,2348.3,21134.7,Fashion,2024-05-27,338,24,3.0
CUST00047,Hazel Badal,Female,56,Kolkata,12,859.42,10313.04,Grocery,2025-01-09,111,57,2.7
CUST00048,Aarna Sachar,Male,35,Ahmedabad,8,3331.32,26650.56,Home,2024-08-16,257,18,3.7
CUST00049,Prisha Maharaj,Female,21,Bangalore,12,945.85,11350.2,Beauty,2025-04-22,8,57,1.7
CUST00050,Fateh Tak,Female,42,Delhi,11,3228.87,35517.57,Fashion,2024-08-04,269,72,4.8
CUST00051,Miraan Sura,Other,31,Ahmedabad,11,2781.54,30596.94,Home,2025-01-29,91,46,1.4
CUST00052,Rati Halder,Female,67,Pune,10,2721.51,27215.1,Home,2024-08-14,259,43,3.8
CUST00053,Azad Comar,Male,26,Kolkata,5,803.73,4018.65,Sports,2024-11-02,179,77,3.8
CUST00054,Armaan Bakshi,Other,43,Ahmedabad,17,3376.49,57400.33,Electronics,2024-12-31,120,16,1.5
CUST00055,Kanav Toor,Female,19,Lucknow,10,2440.94,24409.4,Home,2024-11-19,162,14,5.0
CUST00056,Manjari Mandal,Other,37,Bangalore,10,2349.98,23499.8,Home,2024-09-03,239,9,1.1
CUST00057,Kismat Iyengar,Male,45,Chennai,7,3184.03,22288.21,Grocery,2025-04-12,18,73,2.5
CUST00058,Anvi Doshi,Female,64,Delhi,6,3228.12,19368.72,Fashion,2024-05-27,338,69,2.7
CUST00059,Anahi Kumer,Male,24,Chennai,10,567.65,5676.5,Grocery,2025-03-25,36,61,4.2
CUST00060,Arhaan Hayre,Other,61,Jaipur,7,1063.52,7444.64,Beauty,2024-06-30,304,11,1.1
CUST00061,Sana Dhingra,Female,25,Hyderabad,11,1564.33,17207.63,Books,2024-07-31,273,19,3.2
CUST00062,Ivana Gupta,Other,64,Pune,9,3550.9,31958.1,Sports,2024-07-08,296,64,1.8
CUST00063,Vidur Sem,Other,52,Pune,11,3095.34,34048.74,Electronics,2024-10-23,189,38,3.3
CUST00064,Navya Sunder,Female,31,Kolkata,10,3909.33,39093.3,Beauty,2024-07-27,277,10,3.6
CUST00065,Lagan Sundaram,Other,34,Pune,4,3832.74,15330.96,Sports,2024-11-23,158,16,1.1
CUST00066,Alisha Sandhu,Male,53,Ahmedabad,7,4339.32,30375.24,Electronics,2024-09-13,229,93,1.3
CUST00067,Tushar Deshmukh,Other,67,Lucknow,10,2195.67,21956.7,Sports,2025-01-15,105,69,1.3
CUST00068,Anaya Srinivasan,Male,57,Lucknow,9,2052.79,18475.11,Books,2025-03-30,31,82,4.4
CUST00069,Zain Khurana,Male,21,Kolkata,10,4239.57,42395.7,Electronics,2024-09-22,220,42,4.7
CUST00070,Renee Som,Other,19,Delhi,12,1569.21,18830.52,Books,2024-09-12,230,44,2.8
CUST00071,Zaina Bajwa,Male,23,Kolkata,7,2575.28,18026.96,Fashion,2024-10-07,205,53,4.5
CUST00072,Aarna Majumdar,Female,59,Chennai,11,1374.47,15119.17,Fashion,2025-03-09,52,35,2.9
CUST00073,Rasha Kunda,Male,21,Lucknow,10,4612.28,46122.8,Books,2025-02-26,63,36,2.6
CUST00074,Divij Sama,Male,46,Bangalore,10,2335.11,23351.1,Beauty,2025-03-26,35,22,3.1
CUST00075,Yuvaan Kuruvilla,Male,35,Kolkata,8,1456.19,11649.52,Grocery,2024-12-03,148,24,4.2
CUST00076,Emir Dyal,Female,43,Kolkata,5,3614.06,18070.3,Beauty,2024-07-19,285,76,1.9
CUST00077,Vidur Goel,Female,61,Delhi,12,1600.9,19210.8,Beauty,2025-01-05,115,12,2.2
CUST00078,Tushar Tripathi,Female,51,Mumbai,10,4745.77,47457.7,Books,2024-10-29,183,35,4.4
CUST00079,Adira Borde,Other,27,Jaipur,9,2154.28,19388.52,Beauty,2024-08-30,243,50,4.7
CUST00080,Vidur Kadakia,Female,53,Chennai,8,3490.88,27927.04,Home,2024-09-25,217,83,1.5
CUST00081,Sahil Chacko,Male,31,Pune,3,2053.6,6160.8,Grocery,2024-11-26,155,78,3.8
CUST00082,Jayant Yogi,Female,48,Hyderabad,14,4132.61,57856.54,Electronics,2024-07-14,290,87,1.0
CUST00083,Zain Sengupta,Female,65,Bangalore,7,4536.15,31753.05,Grocery,2024-06-08,326,40,2.0
CUST00084,Hazel Trivedi,Male,32,Pune,9,4045.63,36410.67,Beauty,2025-02-24,65,22,1.3
CUST00085,Sana Saini,Other,25,Jaipur,13,4318.25,56137.25,Grocery,2024-12-18,133,47,3.1
CUST00086,Kabir Gokhale,Female,31,Jaipur,4,958.46,3833.84,Sports,2024-07-06,298,75,2.4
CUST00087,Kismat Rao,Other,40,Delhi,9,4658.29,41924.61,Grocery,2025-01-01,119,66,1.6
CUST00088,Priyansh Warrior,Other,57,Ahmedabad,8,3309.35,26474.8,Beauty,2025-03-10,51,10,1.0
CUST00089,Ayesha Goyal,Other,38,Pune,14,4411.48,61760.72,Fashion,2024-09-01,241,43,2.6
CUST00090,Saksham Vohra,Male,33,Kolkata,13,3579.97,46539.61,Fashion,2024-08-31,242,69,2.2
CUST00091,Aarav Bhagat,Other,62,Delhi,10,1408.31,14083.1,Electronics,2024-09-17,225,94,1.2
CUST00092,Trisha Iyengar,Other,35,Pune,6,3243.0,19458.0,Electronics,2024-11-28,153,85,4.4
CUST00093,Pari Krishnan,Male,64,Ahmedabad,8,909.26,7274.08,Home,2024-12-09,142,97,2.6
CUST00094,Urvi Char,Other,41,Bangalore,12,3630.75,43569.0,Grocery,2024-09-13,229,25,4.1
CUST00095,Amani Chokshi,Other,43,Bangalore,11,2340.51,25745.61,Electronics,2024-12-06,145,47,2.7
CUST00096,Advik Sachar,Male,42,Ahmedabad,19,1182.8,22473.2,Electronics,2024-05-19,346,7,1.3
CUST00097,Miraya Sekhon,Male,62,Hyderabad,4,4906.53,19626.12,Grocery,2024-11-15,166,28,2.6
CUST00098,Elakshi Sarin,Female,58,Jaipur,9,4554.88,40993.92,Books,2025-03-04,57,80,4.5
CUST00099,Abram Mahal,Female,46,Kolkata,15,4520.95,67814.25,Home,2024-10-14,198,45,1.0
CUST00100,Vardaniya Choudhry,Female,32,Ahmedabad,11,4049.69,44546.59,Grocery,2024-05-07,358,67,4.6
CUST00101,Mehul Hari,Other,62,Lucknow,8,3613.92,28911.36,Beauty,2024-10-17,195,83,3.6
CUST00102,Kanav Krishnamurthy,Other,18,Mumbai,17,3447.86,58613.62,Electronics,2024-11-11,170,12,5.0
CUST00103,Kaira Varughese,Other,42,Jaipur,13,977.42,12706.46,Beauty,2025-03-03,58,83,4.7
CUST00104,Zaina Dasgupta,Male,24,Delhi,10,4552.55,45525.5,Beauty,2024-08-25,248,11,4.5
CUST00105,Samiha Randhawa,Other,26,Mumbai,11,4465.08,49115.88,Sports,2024-05-23,342,3,1.2
CUST00106,Anahi Gola,Female,41,Jaipur,10,3865.34,38653.4,Electronics,2024-06-15,319,61,2.1
CUST00107,Sara Sharaf,Male,18,Delhi,10,4672.92,46729.2,Home,2024-06-22,312,66,2.5
CUST00108,Dishani Dara,Male,61,Jaipur,11,2988.88,32877.68,Sports,2024-07-11,293,56,3.8
CUST00109,Ritvik Dora,Male,25,Kolkata,11,2514.39,27658.29,Sports,2025-01-01,119,26,3.6
CUST00110,Ishita Kothari,Female,41,Kolkata,7,4855.76,33990.32,Home,2024-12-22,129,86,1.7
CUST00111,Tarini Bhatt,Female,28,Delhi,17,2588.59,44006.03,Grocery,2024-09-19,223,81,3.9
CUST00112,Yakshit Shah,Female,68,Pune,9,3385.96,30473.64,Sports,2025-02-15,74,34,1.6
CUST00113,Vanya Bhattacharyya,Male,34,Lucknow,11,2178.78,23966.58,Fashion,2025-02-18,71,55,2.8
CUST00114,Aarav Bajaj,Male,25,Ahmedabad,9,3363.47,30271.23,Beauty,2024-09-26,216,79,3.3
CUST00115,Kanav Date,Other,52,Chennai,19,3740.45,71068.55,Books,2024-05-11,354,76,4.5
CUST00116,Suhana Dhar,Other,52,Ahmedabad,9,3310.95,29798.55,Books,2024-09-26,216,16,3.5
CUST00117,Samarth Buch,Female,50,Lucknow,7,2815.53,19708.71,Fashion,2024-12-13,138,80,4.8
CUST00118,Ritvik Shenoy,Male,22,Delhi,7,1850.5,12953.5,Beauty,2024-08-27,246,39,5.0
CUST00119,Kimaya Dutta,Other,59,Jaipur,10,3397.31,33973.1,Fashion,2025-02-01,88,6,3.0
CUST00120,Inaaya  Tata,Female,56,Mumbai,5,4587.93,22939.65,Books,2025-04-24,6,72,1.2
CUST00121,Pari Uppal,Female,58,Delhi,10,531.11,5311.1,Sports,2024-05-28,337,52,1.1
CUST00122,Renee Roy,Other,45,Pune,7,1102.68,7718.76,Grocery,2025-01-08,112,25,4.4
CUST00123,Samar Samra,Female,24,Bangalore,13,1038.98,13506.74,Fashion,2024-09-02,240,56,3.0
CUST00124,Miraya Chad,Male,26,Bangalore,9,4654.42,41889.78,Beauty,2024-06-14,320,83,2.5
CUST00125,Divit Kapur,Female,25,Kolkata,10,3482.36,34823.6,Sports,2024-05-08,357,19,2.1
CUST00126,Shaan Mangal,Male,29,Mumbai,16,4783.05,76528.8,Electronics,2025-02-20,69,76,2.1
CUST00127,Mahika Sarkar,Male,51,Delhi,4,3122.66,12490.64,Books,2024-09-17,225,73,1.3
CUST00128,Ira Aurora,Other,50,Kolkata,10,2577.8,25778.0,Home,2025-04-28,2,93,2.2
CUST00129,Hridaan Ramakrishnan,Other,65,Ahmedabad,7,4065.54,28458.78,Fashion,2025-03-27,34,27,3.6
CUST00130,Lagan Mandal,Other,40,Chennai,19,1224.24,23260.56,Fashion,2024-05-01,364,5,2.5
CUST00131,Yuvraj  Joshi,Female,41,Lucknow,10,2216.02,22160.2,Sports,2024-12-06,145,26,4.8
CUST00132,Khushi Khanna,Other,54,Pune,11,2598.23,28580.53,Electronics,2024-05-09,356,30,3.7
CUST00133,Anay Borra,Other,52,Pune,6,1843.06,11058.36,Fashion,2024-11-17,164,78,4.5
CUST00134,Kiara Chopra,Female,61,Lucknow,8,2170.79,17366.32,Sports,2024-12-23,128,97,1.5
CUST00135,Indranil Sekhon,Other,57,Ahmedabad,11,851.47,9366.17,Books,2024-07-14,290,35,2.8
CUST00136,Devansh Yohannan,Female,39,Chennai,9,1390.93,12518.37,Beauty,2025-03-12,49,75,1.2
CUST00137,Stuvan Balakrishnan,Female,44,Bangalore,7,2009.74,14068.18,Sports,2024-06-13,321,53,4.6
CUST00138,Zeeshan Sagar,Male,52,Hyderabad,7,4081.51,28570.57,Home,2024-11-04,177,68,1.6
CUST00139,Mishti Dey,Male,18,Bangalore,6,1321.24,7927.44,Sports,2025-04-15,15,33,4.2
CUST00140,Farhan Golla,Other,52,Delhi,12,2059.88,24718.56,Fashion,2024-11-06,175,70,4.7
CUST00141,Divyansh Iyengar,Female,54,Lucknow,9,792.14,7129.26,Beauty,2025-02-18,71,28,2.8
CUST00142,Ryan Rajan,Male,64,Ahmedabad,11,3006.97,33076.67,Beauty,2025-03-14,47,74,2.6
CUST00143,Eshani Dar,Male,31,Delhi,15,3250.63,48759.45,Sports,2025-04-08,22,36,3.4
CUST00144,Aaina Dugar,Male,20,Kolkata,9,4394.82,39553.38,Sports,2025-04-18,12,49,4.0
CUST00145,Onkar Salvi,Male,18,Jaipur,12,4186.02,50232.24,Sports,2024-05-21,344,90,3.6
CUST00146,Lagan Vaidya,Other,22,Mumbai,12,1784.2,21410.4,Sports,2025-03-24,37,94,1.0
CUST00147,Shayak Dutt,Male,43,Mumbai,10,1116.29,11162.9,Home,2025-04-09,21,86,4.1
CUST00148,Mohanlal Sen,Other,31,Kolkata,7,1202.37,8416.59,Books,2024-11-20,161,53,1.6
CUST00149,Samarth Singh,Female,56,Delhi,9,4860.34,43743.06,Home,2024-12-05,146,69,2.8
CUST00150,Devansh Chacko,Other,44,Mumbai,9,3529.52,31765.68,Fashion,2024-08-31,242,2,2.1
CUST00151,Vritika Dubey,Male,26,Bangalore,12,691.57,8298.84,Electronics,2025-01-19,101,97,4.7
CUST00152,Vedika Gole,Female,32,Pune,5,1115.51,5577.55,Fashion,2024-10-21,191,80,3.0
CUST00153,Riya Tella,Female,32,Pune,15,2686.1,40291.5,Books,2024-12-13,138,71,3.1
CUST00154,Darshit Srinivas,Other,43,Kolkata,10,1435.23,14352.3,Grocery,2025-03-26,35,64,1.3
CUST00155,Devansh Mammen,Female,59,Lucknow,9,4116.47,37048.23,Sports,2024-12-30,121,21,4.6
CUST00156,Azad Suresh,Other,30,Pune,10,3079.48,30794.8,Fashion,2024-12-30,121,35,2.0
CUST00157,Samiha Venkatesh,Female,68,Ahmedabad,6,3256.84,19541.04,Home,2024-09-20,222,46,2.7
CUST00158,Riya Guha,Other,49,Lucknow,16,2582.71,41323.36,Sports,2025-04-07,23,86,4.9
CUST00159,Anika Sethi,Male,56,Lucknow,7,1652.28,11565.96,Sports,2024-05-15,350,48,1.5
CUST00160,Rohan Solanki,Other,66,Chennai,7,3152.32,22066.24,Grocery,2024-07-16,288,22,3.9
CUST00161,Aaryahi Walia,Other,69,Kolkata,10,3726.37,37263.7,Beauty,2025-02-15,74,6,2.0
CUST00162,Myra Samra,Male,49,Ahmedabad,5,2169.27,10846.35,Books,2025-04-08,22,33,2.7
CUST00163,Tejas Aurora,Other,21,Delhi,10,2772.25,27722.5,Fashion,2025-02-16,73,39,2.7
CUST00164,Anahita Majumdar,Other,47,Bangalore,13,4278.58,55621.54,Electronics,2024-05-15,350,43,4.7
CUST00165,Zoya Jaggi,Female,54,Bangalore,13,1169.07,15197.91,Home,2024-08-19,254,25,1.0
CUST00166,Baiju Aurora,Other,40,Mumbai,10,2953.51,29535.1,Grocery,2025-03-06,55,18,2.5
CUST00167,Ranbir Venkataraman,Female,56,Hyderabad,9,2067.86,18610.74,Home,2025-03-05,56,41,4.4
CUST00168,Armaan Kala,Male,62,Delhi,12,3662.58,43950.96,Electronics,2024-08-14,259,35,4.6
CUST00169,Navya Ganesan,Female,32,Mumbai,11,584.65,6431.15,Books,2024-10-15,197,24,2.2
CUST00170,Elakshi Bhatia,Female,60,Hyderabad,15,3517.13,52756.95,Grocery,2025-02-07,82,55,2.0
CUST00171,Ojas Raju,Male,46,Mumbai,5,963.04,4815.2,Electronics,2024-12-25,126,40,2.8
CUST00172,Dishani Ganesh,Female,53,Hyderabad,10,791.45,7914.5,Grocery,2024-10-04,208,87,4.0
CUST00173,Trisha Raj,Male,30,Pune,8,3760.8,30086.4,Books,2024-07-02,302,97,1.6
CUST00174,Kavya Sha,Other,49,Bangalore,8,3381.54,27052.32,Home,2024-05-11,354,29,4.1
CUST00175,Anaya Dewan,Other,24,Hyderabad,7,4527.21,31690.47,Sports,2025-04-13,17,10,3.1
CUST00176,Zoya Wason,Female,68,Kolkata,7,2838.45,19869.15,Books,2025-04-27,3,79,1.6
CUST00177,Lakshit Mangal,Other,39,Jaipur,6,2885.11,17310.66,Fashion,2024-07-27,277,10,3.7
CUST00178,Diya Char,Male,45,Hyderabad,11,3681.58,40497.38,Home,2024-10-23,189,90,3.5
CUST00179,Jayant De,Other,19,Delhi,8,1955.29,15642.32,Grocery,2024-05-05,360,64,3.5
CUST00180,Adira De,Male,59,Ahmedabad,8,666.11,5328.88,Home,2025-01-11,109,29,4.0
CUST00181,Oorja Ravi,Other,62,Pune,6,1535.21,9211.26,Grocery,2024-06-30,304,98,1.7
CUST00182,Ehsaan Agarwal,Female,23,Bangalore,8,1571.06,12568.48,Home,2025-01-06,114,18,3.8
CUST00183,Aaryahi Chowdhury,Other,45,Pune,7,2010.46,14073.22,Grocery,2025-04-23,7,2,4.5
CUST00184,Anahi Thaman,Other,45,Kolkata,6,4745.58,28473.48,Grocery,2024-11-26,155,25,3.1
CUST00185,Sumer Wadhwa,Other,61,Mumbai,11,4121.79,45339.69,Electronics,2024-08-25,248,85,2.9
CUST00186,Taran Suresh,Male,61,Delhi,10,4711.8,47118.0,Fashion,2024-11-13,168,51,4.2
CUST00187,Hazel Sama,Male,37,Bangalore,11,4993.74,54931.14,Books,2024-08-25,248,95,1.6
CUST00188,Anvi Mangal,Female,47,Bangalore,14,2452.01,34328.14,Grocery,2025-04-28,2,22,2.4
CUST00189,Mahika Kari,Male,28,Pune,12,1521.83,18261.96,Fashion,2025-01-04,116,9,4.4
CUST00190,Ela Dua,Other,45,Pune,9,3020.02,27180.18,Sports,2024-12-03,148,91,3.0
CUST00191,Vardaniya Thakkar,Other,42,Pune,10,4465.1,44651.0,Sports,2024-12-09,142,89,4.4
CUST00192,Ryan Swaminathan,Male,56,Mumbai,13,2595.79,33745.27,Home,2025-03-19,42,89,2.0
CUST00193,Vardaniya Loke,Other,50,Pune,11,2774.3,30517.3,Home,2024-11-10,171,91,2.6
CUST00194,Saksham Balay,Female,18,Lucknow,12,1104.98,13259.76,Beauty,2025-04-19,11,74,4.3
CUST00195,Himmat Sibal,Female,44,Hyderabad,13,2392.05,31096.65,Sports,2024-11-07,174,94,1.7
CUST00196,Amira Sama,Male,69,Hyderabad,11,2241.48,24656.28,Fashion,2024-09-19,223,4,4.6
CUST00197,Gatik Lalla,Male,30,Ahmedabad,9,2082.6,18743.4,Home,2025-03-08,53,21,2.2
CUST00198,Pranay Issac,Female,58,Lucknow,10,4492.84,44928.4,Fashion,2024-09-08,234,30,4.9
CUST00199,Yakshit Dhar,Female,20,Kolkata,16,766.86,12269.76,Grocery,2024-11-03,178,33,4.3
CUST00200,Arnav Goda,Male,56,Mumbai,5,4874.66,24373.3,Sports,2024-08-16,257,43,2.8
CUST00201,Shlok Vora,Male,23,Chennai,14,537.11,7519.54,Electronics,2024-12-13,138,90,4.0
CUST00202,Bhamini Sethi,Male,25,Mumbai,5,4755.17,23775.85,Sports,2024-12-01,150,2,3.2
CUST00203,Raghav Rege,Other,44,Delhi,7,2966.21,20763.47,Electronics,2024-11-28,153,87,4.4
CUST00204,Nakul Dora,Male,26,Kolkata,13,3661.0,47593.0,Books,2024-07-25,279,31,3.1
CUST00205,Adira Dada,Male,54,Kolkata,13,1342.1,17447.3,Books,2024-08-14,259,4,5.0
CUST00206,Akarsh Bhardwaj,Other,50,Pune,11,3443.95,37883.45,Home,2024-12-06,145,47,1.5
CUST00207,Manikya Dua,Female,68,Lucknow,8,4468.81,35750.48,Books,2025-03-06,55,84,3.7
CUST00208,Kiara Sunder,Male,59,Lucknow,10,1127.66,11276.6,Grocery,2024-06-16,318,89,2.0
CUST00209,Romil Sridhar,Other,61,Jaipur,16,1071.87,17149.92,Home,2025-02-04,85,45,1.8
CUST00210,Damini Bhargava,Male,41,Ahmedabad,6,1867.9,11207.4,Grocery,2024-05-12,353,65,2.6
CUST00211,Biju Madan,Male,32,Mumbai,16,1227.77,19644.32,Home,2024-05-04,361,66,2.5
CUST00212,Vedika Borra,Other,49,Pune,6,997.91,5987.46,Beauty,2025-03-03,58,6,1.2
CUST00213,Vanya Balay,Female,49,Kolkata,12,3552.44,42629.28,Beauty,2025-02-22,67,7,2.7
CUST00214,Nirvi Aggarwal,Other,41,Pune,8,1462.22,11697.76,Grocery,2025-03-14,47,51,4.8
CUST00215,Nayantara Venkataraman,Male,58,Jaipur,8,3501.57,28012.56,Beauty,2024-06-11,323,68,2.9
CUST00216,Jivin Sahni,Female,69,Lucknow,14,4378.68,61301.52,Beauty,2024-10-17,195,18,2.2
CUST00217,Kashvi Bali,Other,66,Lucknow,8,3434.11,27472.88,Electronics,2024-09-03,239,41,4.8
CUST00218,Tejas Bera,Other,66,Pune,6,1037.15,6222.9,Grocery,2024-06-19,315,69,3.0
CUST00219,Jayesh Suri,Female,69,Hyderabad,20,3081.1,61622.0,Fashion,2024-11-01,180,25,2.1
CUST00220,Hansh Setty,Male,29,Mumbai,14,2271.33,31798.62,Sports,2025-03-12,49,56,4.1
CUST00221,Kismat Devi,Other,56,Jaipur,11,2045.17,22496.87,Electronics,2024-10-16,196,1,1.9
CUST00222,Ritvik Hayre,Other,19,Mumbai,9,1933.39,17400.51,Home,2024-12-21,130,98,2.0
CUST00223,Mamooty Dugar,Other,20,Kolkata,12,4682.45,56189.4,Fashion,2025-04-03,27,55,2.3
CUST00224,Priyansh Yadav,Male,66,Lucknow,9,3841.28,34571.52,Beauty,2025-02-24,65,3,2.6
CUST00225,Alia Rau,Other,54,Chennai,10,1102.32,11023.2,Sports,2024-08-06,267,54,3.3
CUST00226,Taran Johal,Female,66,Jaipur,16,2642.02,42272.32,Beauty,2025-01-14,106,81,3.1
CUST00227,Bhamini Dada,Female,34,Delhi,14,1932.0,27048.0,Beauty,2025-02-10,79,32,4.0
CUST00228,Nakul Bakshi,Other,66,Ahmedabad,13,4900.72,63709.36,Fashion,2024-11-21,160,88,3.9
CUST00229,Uthkarsh Thakkar,Other,19,Kolkata,9,4901.13,44110.17,Grocery,2024-05-07,358,2,1.2
CUST00230,Kiara Kalita,Female,19,Pune,10,1937.91,19379.1,Home,2024-10-26,186,65,1.5
CUST00231,Miraya Chakraborty,Female,45,Delhi,18,2084.51,37521.18,Home,2024-08-21,252,98,1.9
CUST00232,Kanav Bahri,Other,40,Pune,5,3197.36,15986.8,Sports,2024-05-06,359,8,3.4
CUST00233,Indrajit Borde,Female,54,Lucknow,3,2656.88,7970.64,Fashion,2024-07-05,299,58,4.6
CUST00234,Diya Gulati,Male,49,Chennai,7,1458.95,10212.65,Books,2024-11-03,178,53,2.3
CUST00235,Pihu Goswami,Male,50,Pune,9,3471.85,31246.65,Beauty,2024-10-27,185,44,4.9
CUST00236,Lavanya Chacko,Male,18,Kolkata,12,2003.58,24042.96,Grocery,2024-09-15,227,73,1.7
CUST00237,Krish Ramesh,Male,36,Mumbai,8,3441.72,27533.76,Sports,2024-07-31,273,28,4.7
CUST00238,Hazel Rana,Female,19,Bangalore,13,2226.57,28945.41,Electronics,2024-09-14,228,19,4.2
CUST00239,Manikya Ben,Male,61,Ahmedabad,10,3650.94,36509.4,Sports,2024-09-30,212,56,2.6
CUST00240,Zain Bora,Other,43,Hyderabad,10,3505.1,35051.0,Sports,2024-12-06,145,20,1.8
CUST00241,Tarini Jha,Other,49,Pune,7,2789.66,19527.62,Home,2024-06-16,318,71,2.6
